"_id","_createdBy","_updatedBy","_createdAt","_updatedAt","number","title","description","severity","severityLabel","startDate","endDate","tags","flag","tlp","tlpLabel","pap","papLabel","status","stage","summary","impactStatus","assignee","newDate","inProgressDate","closedDate","alertDate","alertNewDate","alertInProgressDate","alertImportedDate","timeToDetect","timeToTriage","timeToQualify","timeToAcknowledge","timeToResolve","handlingDuration","customFields.affected-hosts","customFields.affected-users","customFields.client-assessement-feedback","customFields.comment-note","customFields.date-de-cloture","customFields.incident-category","customFields.incident-subcategory","customFields.occurred-date","customFields.offense-id","customFields.offense-source","customFields.origin-log-source","customFields.reported-by","customFields.reported-date","customFields.status"
"~102560","ali.abdel@gmail.com","","2024-03-28T00:18:30Z","","64","Alerte Cyber | SOC | MOOV CIV | offense: 28997| sévérité: LOW -scan de base de données","Le 28 févr. 2024 à 17:04:58 Nous avons remarqué un scan de base de données locale avec l'adresse IP source 192.168.1.22 (Net-10-172-192.Net_192_168_0_0) et plusieurs adresses IP de destination commençant par 154.0.24..., sur le port de destination 1443.","1","LOW","2024-03-28T00:11:39Z","","port scan","false","2","AMBER","2","AMBER","New","New","","","ali.abdel@gmail.com","2024-03-28T00:18:30Z","","","","","","","411423","","","","","","Plusieurs adresses","N/A","True Positive","L’IP 192.168.1.22  ne fait pas partie de notre périmètre. Elle sera bloquée.","2024-02-29T08:38:26Z","Reconnaissance","Scan de base de données","2024-02-28T16:04:09Z","28997","""192.168.1.22 ""","ASA @ 10.178.60.20","Hiba BEKKALI","2024-03-28T19:32:41Z","closed
"
"~41037952","ali.abdel@gmail.com","","2024-03-28T00:11:35Z","","63","Alerte Cyber | SOC | MOOV CIV | offense 28947 | sévérité: Medium - Violation de la politique - Application illégale ou aberrante trouvée sur l'hôte","Suite notre investigation, nous avons identifié plusieurs connexions provenant de l’adresse IP interne «10.178.127.81»  du réseau Net-10-172-192.Net_10_0_0_0  vers L'dresse «57.128.101.78»  via le port 6568 dédié  à l’application AnyDesk.","2","MEDIUM","2024-03-28T00:05:47Z","","PUA","false","2","AMBER","2","AMBER","New","New","","","ali.abdel@gmail.com","2024-03-28T00:11:35Z","","","","","","","348130","","","","","","""10.178.127.81""","N/A","True Positive","Merci de clôturer cette alerte, l’adresse IP a été isolée pour le moment.","2024-02-28T10:46:00Z","Violation de la politique","Application illégale ou aberrante trouvée sur l'hôte","2024-02-27T13:55:51Z","28947","""57.128.101.78""","ASA @ 10.178.60.20","Hiba BEKKALI","2024-02-27T15:35:02Z","closed"
"~57376","ali.abdel@gmail.com","","2024-03-27T23:38:44Z","","61","Alerte Cyber | SOC | MOOV CIV | offense: 28909| sévérité: Medium-Mot de passe incorrect ","
Suite à notre investigation, nous avons identifié des tentatives d'authentification échouées provenant de l’adresse 10.178.118.3 du réseau Net-10-172-192.Net_10_0_0_0 vers l’adresse 10.177.166.8 en utilisant le compte emmanuel.lamah  en raison de mot de passe mal orthographié ou incorrect.","2","MEDIUM","2024-03-27T23:27:01Z","","mot de pass","false","2","AMBER","2","AMBER","New","New","","","ali.abdel@gmail.com","2024-03-27T23:38:44Z","","","","","","","702910","","","","","","""10.177.166.8""","emmanuel.lamah","False Positive","Bien reçu, merci de clôturer cette alerte.
Il s’agit du mot de passe de l’utilisateur qui a expiré.","2024-02-26T11:53:09Z","Violation de la politique","Mot de passe incorrect","2024-02-26T09:01:24Z","28909","10.178.118.3","CI08VMMBX002@10.177.166.8","Imad BATTOU","2024-02-26T11:23:00Z","closed"
"~40992944","ali.abdel@gmail.com","ali.abdel@gmail.com","2024-03-22T05:10:21Z","2024-03-22T06:37:23Z","48","Alerte Cyber  | SOC | MOOV CIV | offense: 29693 | sévérité: HIGH-Communication réseau INBOUND suspecte","Par suite de notre investigation, une tentative de communication suspecte depuis l’adresse externe 192.241.219.57 vers l’adresse interne 10.191.50.25 via le port 7000, l’événement a été remonté par le log source FWSM @ 10.191.50.25","3","HIGH","2024-03-22T05:05:15Z","","inound/outbound,c2","false","2","AMBER","2","AMBER","New","New","","","ali.abdel@gmail.com","2024-03-22T05:10:21Z","","","","","","","306338","","","","","","""10.191.50.25""","ci08svtestapptlc001","True Positive","Comme demandé, l’adresse IP a été bloqué au niveau firewall.","2024-03-19T13:48:04Z","Command and control ","Communication réseau INBOUND/OUTBOUND suspecte  ","2024-03-19T02:45:57Z","29693","""192.241.219.57""","FWSM @ 10.191.50.25","Imad BATTOU","2024-03-19T03:21:58Z","Closed"
"~139480","ali.abdel@gmail.com","ali.abdel@gmail.com","2024-03-22T05:05:00Z","2024-03-28T01:13:25Z","47","Alerte Cyber | SOC | MOOV CIV | offense:  29737| sévérité: Medium-Potentially Unwanted Application (PUA)"," Suite notre investigation, nous avons identifié des communications provenant de l’adresse IP interne «10.178.130.96»  du réseau Net-10-172-192.Net_10_0_0_0  vers l'adresse  51.195.5.155 via le port 6568 dédié  à l’application AnyDesk.","2","MEDIUM","2024-03-22T05:01:01Z","","PUA","false","2","AMBER","2","AMBER","New","New","","","ali.abdel@gmail.com","2024-03-22T05:05:00Z","","","","","","","238981","","","","","","""10.178.130.96""","N/A","True Positive","Le retour de clôture de cette alerte a été déjà faite.","2024-03-27T12:06:51Z","Violation de la politique","Application illégale ou aberrante trouvée sur l'hôte","2024-03-19T12:56:02Z","29737","""51.195.5.155"""," ASA @ 10.178.60.20","Amina AMRANI","2024-03-19T13:18:27Z","Closed"
"~81936","ali.abdel@gmail.com","","2024-03-22T04:54:28Z","","45","Alerte Cyber | SOC | MOOV CIV | offense:  29500| sévérité: Medium-Potentially Unwanted Application (PUA)","Suite notre investigation, nous avons identifié des communications provenant de l’adresse IP interne «10.178.130.86»  du réseau Net-10-172-192.Net_10_0_0_0  vers des adresses  externes  via le port 6568 dédié  à l’application AnyDesk.","2","MEDIUM","2024-03-22T04:49:26Z","","PUA","false","2","AMBER","2","AMBER","New","New","","","ali.abdel@gmail.com","2024-03-22T04:54:28Z","","","","","","","302253","","","","","","""10.178.130.86""","N/A","False Positive","null","2024-03-15T12:13:38Z","Violation de la politique","Application illégale ou aberrante trouvée sur l'hôte","2024-03-14T15:36:33Z","29500","""138.199.36.121""","ASA @ 10.178.60.20, FWSM @ 10.191.50.57","Amina AMRANI","2024-03-14T15:57:00Z","Closed"
"~77840","ali.abdel@gmail.com","","2024-03-22T04:49:19Z","","44","Alerte Cyber | SOC | MOOV CIV | offense: 29393| sévérité: LOW -scan de base de données","Le Mardi 12, 2024, à  6:59:01 Nous avons remarqué un scan de base de données locale provenant de l'adresse IP source  172.20.70.94 ( Net-10-172-192.Net_172_16_0_0) et plusieurs adresses IP de destination sur le port de destination 1443.","1","LOW","2024-03-22T04:44:18Z","","port scan","false","2","AMBER","2","AMBER","New","New","","","ali.abdel@gmail.com","2024-03-22T04:49:19Z","","","","","","","300423","","","","","","Multiples","N/A","True positive","L’adresse IP 172.20.70.94 ne fait pas partie de notre périmètre , elle sera isolée.","2024-03-12T08:47:04Z","Scan de base de données","Reconnaissance","2024-03-12T06:59:28Z","29393","""172.20.70.94"""," ASA @ 10.178.60.20","Hiba BEKKALI","2024-03-12T07:36:54Z","closed"
"~204832776","ali.abdel@gmail.com","","2024-03-22T04:29:13Z","","43","Alerte Cyber  | SOC |  MOOV CIV |  offense:  29346 | sévérité: Medium-Potentially Unwanted Application (PUA)","Suite notre investigation, nous avons identifié une connexion provenant de l’adresse IP interne « 10.178.2.197 »  situé sur le réseau ""Net-10-172-192.Net_10_0_0_0"" vers l’adresse public  « 185.229.191.39 » via le port 6568 dédié au l’application AnyDesk","2","MEDIUM","2024-03-22T04:23:59Z","","PUA","false","2","AMBER","2","AMBER","New","New","","","ali.abdel@gmail.com","2024-03-22T04:29:13Z","","","","","","","314546","","","","","","""10.178.2.197""","N/A","True positive","null","2024-03-11T09:07:00Z","Violation de la politique","Application illégale ou aberrante trouvée sur l'hôte","2024-03-08T18:10:27Z","29346","""185.229.191.39""","FWSM @ 10.191.50.57","Mustapha KHOUIDI","2024-03-08T20:55:16Z","closed"
"~40984752","ali.abdel@gmail.com","","2024-03-22T04:23:50Z","","42","Alerte Cyber | SOC | MOOV CIV | offense: 29361 | sévérité: Medium -authentification échouée depuis une adresse externe","Suite à notre investigation, nous avons identifié des tentatives d'authentification échouées provenant de L’adresse IP externe  194.26.135.111   vers l’adresse   10.178.60.20   du réseau  Net-10-172-192.Net_10_0_0_0. ","2","MEDIUM","2024-03-22T04:17:26Z","","failed logon,bruteforce","false","2","AMBER","2","AMBER","New","New","","","ali.abdel@gmail.com","2024-03-22T04:23:50Z","","","","","","","383970","","","","","","10.178.60.20","N\\A","True positive","null","2024-03-11T08:26:21Z","Violation de la politique","authentification échouée","2024-03-10T18:08:45Z","29361","""194.26.135.111""","ASA @ 10.178.60.20","Amina AMRANI","2024-03-10T19:05:08Z","closed"
"~102616","ali.abdel@gmail.com","","2024-03-22T04:17:17Z","","41"," Alerte Cyber | SOC | MOOV CIV | offense: 29351| sévérité:High-Communication réseau INBOUND/OUTBOUND suspecte","Par suite de notre investigation, une tentative de communication suspecte depuis l'adresse externe  212.70.149.138 vers l’adresse  10.191.50.25 du réseau  Net-10-172-192.Net_10_0_0_0 via le port 7000.","3","HIGH","2024-03-22T04:11:54Z","","c2,inbound/outbound","false","2","AMBER","2","AMBER","New","New","","","ali.abdel@gmail.com","2024-03-22T04:17:17Z","","","","","","","322445","","","","","","""10.191.50.25""","ci08svtestapptlc001","True Positive","null","2024-03-10T14:21:27Z","Violation de la politique","Communication réseau INBOUND/OUTBOUND suspecte","2024-03-09T17:10:15Z","29351","""212.70.149.138""","FWSM @ 10.191.50.25","Amina AMRANI","2024-03-09T18:52:42Z","closed"
